pl_hostname,pl_pnum,st_optmag,gaia_gmag,st_teff,st_mass,st_rad
K2-108,1,12.33,12.17,5599,1.17,1.76
K2-11,1,13.386,13.15,5433,1.35,5.15
K2-110,1,11.915,11.663,4950,0.75,0.71
K2-111,1,11.137,10.929,5730,0.88,1.23
K2-113,1,13.684,13.504,5660,1.04,1.24
K2-114,1,14.556,14.275,5044,0.89,0.84
K2-115,1,13.362,13.2,5657,0.95,0.88
K2-116,1,10.91,10.328,4348.35,0.69,0.67
K2-118,1,14.049,13.748,4726.29,0.76,0.73
K2-119,1,14.883,14.51,4740,0.76,0.71
K2-12,1,12.258,12.088,5800,1.01,1.01
K2-120,1,14.045,13.933,4349.9,0.69,0.67
K2-121,1,13.319,12.925,4551,0.72,0.68
K2-122,1,13.15,12.371,4027,0.62,0.6
K2-123,1,14.781,14.092,4035,0.62,0.59
K2-124,1,15.105,15.462,3570,0.39,0.39
K2-125,1,16.122,15.151,3654.47,0.49,0.4
K2-126,1,12.918,12.401,4339,0.69,0.65
K2-127,1,15.037,14.787,4575,0.72,0.66
K2-128,1,12.627,12.22,4469.51,0.71,0.78
K2-129,1,13.63,12.462,3459.09,0.36,0.36
K2-13,1,12.901,12.739,5698,0.8,0.78
K2-130,1,12.759,12.325,4356.47,0.7,0.74
K2-131,1,12.115,11.9,5245,0.84,0.75
K2-132,1,11.897,11.64,4840,1.08,3.85
K2-137,1,15.498,14.435,3492,0.46,0.44
K2-139,1,11.653,11.463,5370,0.96,0.88
K2-14,1,16.31,15.535,3789,0.47,0.45
K2-140,1,12.624,12.481,5705,1,0.99
K2-147,1,14.019,13.191,3672,0.58,0.55
K2-149,1,14.484,13.779,3745,0.59,0.57
K2-15,1,14.663,14.424,5131,0.72,0.68
K2-150,1,15.829,14.815,3499,0.46,0.44
K2-151,1,14.14,13.312,3695,0.47,0.45
K2-152,1,13.728,13.038,4044,0.63,0.61
K2-153,1,14.979,14.271,3845,0.55,0.53
K2-156,1,13.424,12.948,4597,0.66,0.66
K2-157,1,12.823,12.642,5456,0.94,0.88
K2-159,1,11.994,11.64,5425,0.9,0.83
K2-160,1,12.649,12.542,5649,0.98,0.91
K2-161,1,12.631,12.357,4972,0.99,2.57
K2-162,1,12.3,11.966,4842,0.75,0.69
K2-163,1,13.129,12.806,4937,0.83,0.76
K2-164,1,11.235,11.094,5791,1.18,2.2
K2-167,1,8.239,8.104,5908,1.02,1.83
K2-169,1,12.229,12.006,5548,0.99,0.92
K2-17,1,13.519,13.002,4320,0.71,0.66
K2-171,1,12.66,12.439,5250,0.89,1.72
K2-173,1,12.403,12.185,5580,0.88,0.84
K2-174,1,12.424,12.008,4455,0.7,0.68
K2-175,1,10.836,10.625,5909,1.09,1.42
K2-176,1,12.893,12.65,5428,0.94,0.86
K2-177,1,12.645,12.422,6063,1.21,1.21
K2-178,1,12.403,12.156,5525,0.95,0.89
K2-179,1,12.956,12.691,5015,0.82,0.77
K2-180,1,12.601,12.404,5358,0.72,0.72
K2-181,1,12.749,12.562,5608,0.99,1.07
K2-182,1,11.997,11.72,5165,0.88,0.8
K2-184,1,10.345,10.13,5220,0.86,0.78
K2-185,1,12.215,12.064,5722,0.98,0.91
K2-186,1,12.307,12.171,5784,1.02,0.98
K2-191,1,13.258,12.995,5176,0.9,0.84
K2-192,1,12.704,12.45,5222,0.9,0.81
K2-193,1,13.251,13.095,5817,1.01,0.98
K2-194,1,12.908,12.838,5979,1.11,1.28
K2-196,1,12.06,11.927,6045,1.16,1.54
K2-197,1,12.157,11.994,5667,1,0.93
K2-200,1,12.459,12.231,5233,0.86,0.79
K2-202,1,13.297,13.044,5491,0.97,0.91
K2-203,1,12.353,12.122,5000,0.79,0.76
K2-204,1,13.01,12.889,5755,1.01,1.18
K2-205,1,12.391,12.251,5890,0.95,1.08
K2-206,1,13.1,12.827,5043,0.79,0.76
K2-207,1,13.166,12.969,5522,0.94,0.93
K2-208,1,12.503,12.314,5582,0.93,0.86
K2-209,1,11.205,10.745,4720,0.74,0.71
K2-210,1,11.535,11.585,5396,0.91,0.85
K2-211,1,13.075,12.933,5221,0.88,0.82
K2-212,1,13.1,12.55,4272,0.67,0.65
K2-213,1,11.803,12.041,5794,1.07,1.2
K2-214,1,11.805,11.599,5854,1.05,1.27
K2-215,1,12.986,12.83,5704,1,0.97
K2-216,1,12.476,12.058,4503,0.7,0.72
K2-217,1,12.187,12.028,5967,1.1,1.33
K2-218,1,12.876,12.714,5757,1.05,1.01
K2-22,1,15.597,14.954,3830,0.6,0.57
K2-220,1,11.89,11.721,5660,0.96,1.02
K2-221,1,12.703,12.415,5716,1.01,0.95
K2-222,1,9.543,9.361,6058,1,1.09
K2-225,1,11.836,11.52,5742,1.27,1.7
K2-226,1,12.308,12.092,5424,0.88,0.91
K2-227,1,12.015,11.495,5673,0.95,0.89
K2-228,1,12.995,12.653,4715,0.71,0.65
K2-230,1,12.707,12.575,5945,1.11,1.39
K2-231,1,12.708,12.559,5695,1.01,0.95
K2-232,1,9.899,9.726,6154,1.19,1.16
K2-237,1,11.601,11.467,6099,1.23,1.38
K2-238,1,13.748,13.664,5630,1.19,1.59
K2-241,1,11.97,11.756,5262,0.71,0.75
K2-242,1,16.588,15.382,3459,0.38,0.37
K2-244,1,11.78,11.632,5677,0.86,0.92
K2-245,1,12.212,12.564,5793,0.83,1.25
K2-246,1,14.55,14.351,5610,0.87,0.94
K2-248,1,13.402,13.262,5528,0.88,0.92
K2-249,1,11.827,12.45,6504,1.32,1.57
K2-25,1,15.881,14.382,3180,0.29,0.29
K2-250,1,14.267,13.973,5172,0.8,0.81
K2-251,1,15.621,14.77,3717,0.52,0.49
K2-252,1,12.847,12.62,5152,0.79,0.82
K2-253,1,14.868,14.704,6027,1.08,1.1
K2-255,1,13.756,13.309,4676,0.71,0.69
K2-256,1,14.939,14.699,5219,0.84,0.78
K2-257,1,13.716,12.86,3725,0.52,0.5
K2-258,1,13.298,13.139,6351,1.21,1.31
K2-259,1,12.536,12.375,6059,1.14,1.13
K2-26,1,14.53,13.752,3785,0.56,0.52
K2-260,1,12.689,12.467,6367,1.39,1.69
K2-261,1,10.612,10.459,5537,1.1,1.65
K2-263,1,11.606,11.405,5368,0.88,0.85
K2-265,1,11.102,10.928,5477,0.92,0.98
K2-269,1,11.784,11.377,6209,1.16,1.45
K2-27,1,12.64,12.453,5248,0.87,0.89
K2-271,1,13.827,13.658,5644,0.83,0.99
K2-272,1,13.841,13.667,5419,0.81,0.81
K2-273,1,13.371,13.146,5200,0.9,0.84
K2-274,1,13.086,12.885,5065,0.81,0.74
K2-276,1,14.627,14.379,5139,0.82,0.85
K2-277,1,10.364,10.121,5741,1.02,0.97
K2-278,1,13.412,13.254,6747,1.4,1.61
K2-279,1,11.491,11.591,5558,0.79,0.86
K2-28,1,16.061,14.68,3214,0.26,0.29
K2-280,1,12.536,12.36,5742,1.11,1.28
K2-281,1,15.117,14.768,4812,0.82,0.76
K2-283,1,14.445,14.132,5060,0.89,0.82
K2-284,1,13.322,12.86,4140,0.63,0.61
K2-286,1,12.763,12.165,3926,0.64,0.62
K2-287,1,11.41,11.067,5695,1.06,1.07
K2-288 B,1,13.868,14.545,3341,0.33,0.32
K2-289,1,14.465,13.794,5529,0.95,1.02
K2-29,1,12.526,12.201,5358,0.94,0.86
K2-291,1,10.014,9.866,5520,0.93,0.9
K2-293,1,13.357,13.161,5532,0.96,0.95
K2-294,1,12.502,12.37,5612,0.99,1.2
K2-295,1,13.946,13.518,4444,0.74,0.7
K2-30,1,13.53,13.206,5425,0.9,0.84
K2-308,1,14.963,14.895,6100,1.09,1.24
K2-31,1,10.775,10.537,5280,0.91,0.78
K2-33,1,15.714,14.157,3540,0.56,1.05
K2-34,1,11.548,11.436,6071,1.15,1.44
K2-39,1,10.83,10.596,4881,0.66,2.97
K2-4,1,14.907,14.34,4014.73,0.64,0.57
K2-42,1,15.023,14.634,4613,0.7,0.64
K2-44,1,12.189,12.024,5912,1.15,1.58
K2-45,1,15.78,15.344,4103,0.5,0.45
K2-46,1,12.029,11.915,6256,0.96,1.29
K2-47,1,14.085,13.74,5054,0.75,0.76
K2-48,1,14.277,13.968,4899,0.77,0.73
K2-49,1,15.668,15.244,4175,0.51,0.45
K2-52,1,15.037,15.255,7147,1.69,2.19
K2-53,1,11.888,12.148,5263,0.85,0.81
K2-54,1,14.042,13.945,3798,0.42,0.38
K2-55,1,13.546,13.062,4456,0.7,0.63
K2-57,1,14.501,14.104,4434,0.68,0.62
K2-6,1,12.654,12.502,5850,0.97,0.96
K2-60,1,12.789,12.611,5500,0.97,1.12
K2-61,1,12.991,12.858,6293,1.21,1.36
K2-64,1,14.086,13.915,5312,0.74,0.73
K2-65,1,10.801,,5213,0.87,0.84
K2-66,1,11.71,11.996,5887,1.11,1.67
K2-68,1,12.977,12.657,4746,0.73,0.68
K2-69,1,14.807,15.057,4127,0.55,0.49
K2-7,1,13.213,13.057,5772,0.97,0.96
K2-70,1,12.989,12.778,5622,0.94,0.93
K2-71,1,14.875,15.189,4006,0.48,0.43
K2-73,1,11.345,11.715,5922,1.05,1.06
K2-74,1,12.588,12.436,6060,0.96,0.98
K2-77,1,12.158,11.92,4970,0.8,0.76
K2-79,1,12.075,11.803,5926,1.06,1.28
K2-81,1,14.364,13.904,4674.13,0.75,0.63
K2-85,1,12.831,12.06,4268,0.57,0.51
K2-86,1,13.167,12.798,5482,0.79,0.76
K2-87,1,14.134,13.708,5747,1.16,1.4
K2-88,1,15.476,14.545,3537,0.26,0.26
K2-89,1,14.162,13.322,3691,0.35,0.32
K2-9,1,15.63,14.866,3390,0.3,0.31
K2-91,1,15.572,14.322,3622,0.29,0.28
K2-95,1,15.498,16.084,3548,0.44,0.42
K2-97,1,12.611,12.306,4717,1.2,4.47
K2-98,1,12.166,12.04,6172,1.2,1.57
K2-99,1,11.149,10.948,6217,1.63,2.63
KELT-1,1,10.701,10.59,6518,1.32,1.46
KELT-10,1,10.854,10.701,5948,1.11,1.21
KELT-11,1,8.04,7.831,5375,1.44,2.69
KELT-12,1,10.59,10.484,6279,1.59,2.37
KELT-14,1,11,10.838,5720,1.24,1.52
KELT-15,1,11.189,11.069,6003,2.06,1.78
KELT-16,1,11.898,11.796,6236,1.21,1.36
KELT-17,1,9.286,9.209,7454,1.64,1.65
KELT-18,1,10.117,10.104,6670,1.52,1.91
KELT-19 A,1,9.885,9.863,7500,1.62,1.83
KELT-2 A,1,8.713,8.584,6327,1.54,1.93
KELT-20,1,7.58,7.575,8720,1.76,1.56
KELT-21,1,,10.541,7598,1.46,1.64
KELT-23 A,1,10.253,10.182,5899,0.94,1
KELT-24,1,8.332,8.238,6509,1.46,1.51
KELT-3,1,9.873,9.763,6304,1.96,1.7
KELT-4 A,1,9.98,9.957,6206,1.2,1.6
KELT-7,1,8.54,8.452,6768,1.76,1.81
KELT-8,1,10.833,10.67,5754,0.81,1.46
KELT-9,1,7.55,7.577,10170,2.52,2.36
KIC 10525077,1,15.355,15.304,6091,1.01,1.01
KIC 3558849,1,14.218,14.167,6175,0.98,1.01
KIC 5095269,1,13.528,13.439,,1.21,
KIC 5951458,1,12.713,12.688,6258,0.98,1.52
KIC 7917485,1,13.2,13.109,7067,1.63,
KMT-2016-BLG-0212L,1,,,,0.48,
KMT-2016-BLG-1107L,1,,,,0.09,
KMT-2016-BLG-1397L,1,,,,0.45,
KMT-2016-BLG-1820L,1,,,,0.04,
KMT-2016-BLG-1836L,1,,,,0.49,
KMT-2016-BLG-2142L,1,,,,0.07,
KMT-2017-BLG-0165L,1,,,,0.76,
KMT-2017-BLG-1038L,1,,,,0.37,
KMT-2017-BLG-1146L,1,,,,0.33,
KMT-2018-BLG-1990L,1,,,,0.09,
KOI-1257,1,14.867,14.642,5520,0.99,1.13
KOI-13,1,9.958,,7650,1.72,1.74
KOI-217,1,15.127,15.101,5545,0.95,0.86
KOI-3680,1,14.77,14.503,5830,1.01,0.96
KPS-1,1,13.033,12.793,5165,0.89,0.91
Kapteyn,1,8.845,8.062,3550,0.28,0.29
Kepler-1000,1,13.256,13.192,6453,1.4,1.51
Kepler-1001,1,15.338,15.33,5491,0.9,0.88
Kepler-1002,1,11.704,11.647,6144,1.22,1.57
Kepler-1003,1,14.053,14.023,6109,1.11,1.17
Kepler-1004,1,13.427,13.4,4972,1.11,3.39
Kepler-1005,1,13.25,13.184,5782,1,1.06
Kepler-1006,1,14.563,,5328,0.78,0.74
Kepler-1007,1,14.744,14.735,4587,0.73,0.7
Kepler-1008,1,13.395,13.379,5066,0.81,0.78
Kepler-1009,1,15.278,15.301,4027,0.59,0.57
Kepler-1010,1,14.685,14.687,5253,0.86,0.82
Kepler-1011,1,15.196,15.203,5416,0.91,0.88
Kepler-1012,1,13.317,13.315,5556,0.95,0.91
Kepler-1013,1,14.417,14.408,4954,0.81,0.76
Kepler-1014,1,14.64,14.627,5388,0.88,0.84
Kepler-1015,1,12.818,12.759,6769,1.49,1.81
Kepler-1017,1,14.139,14.115,5473,0.93,0.87
Kepler-1018,1,15.041,15.014,5518,0.91,0.88
Kepler-1019,1,13.59,13.593,4433,0.7,0.67
Kepler-1020,1,14.031,13.983,5227,0.87,0.8
Kepler-1021,1,15.164,15.173,5431,0.89,0.86
Kepler-1022,1,15.389,15.377,4445,0.71,0.68
Kepler-1023,1,14.52,14.502,5494,0.93,0.89
Kepler-1024,1,15.983,16.006,5143,0.81,0.78
Kepler-1025,1,13.573,13.556,6089,1.09,1.13
Kepler-1026,1,14.254,14.202,4948,0.79,0.75
Kepler-1027,1,12.852,12.84,5436,0.91,0.82
Kepler-1028,1,14.325,14.31,5522,0.9,0.87
Kepler-1029,1,14.31,14.301,5030,0.82,0.77
Kepler-1030,1,15.719,15.716,4983,0.8,0.76
Kepler-1031,1,13.8,,6011,1.09,1.12
Kepler-1032,1,15.753,15.799,4647,0.77,0.71
Kepler-1033,1,15.986,15.929,5547,0.94,0.92
Kepler-1034,1,15.09,15.074,5198,0.83,0.8
Kepler-1035,1,12.987,13.005,5763,0.98,0.97
Kepler-1036,1,13.8,13.764,5533,0.95,0.89
Kepler-1037,1,14.229,14.231,5105,0.82,0.78
Kepler-1038,1,14.839,14.856,5335,0.87,0.83
Kepler-1039,1,14.145,14.096,4870,0.79,0.74
Kepler-1040,1,13.328,13.322,5694,0.98,0.96
Kepler-1041,1,14.49,14.442,5957,1.06,1.08
Kepler-1042,1,15.629,15.672,4815,0.75,0.72
Kepler-1043,1,14.777,14.762,5629,0.92,0.9
Kepler-1044,1,15.368,15.306,5985,1.08,1.11
Kepler-1045,1,15.593,15.549,5301,0.86,0.82
Kepler-1046,1,13.286,13.248,5913,1.04,1.04
Kepler-1048,1,14.832,14.844,4651,0.75,0.7
Kepler-1049,1,14.22,14.156,3864,0.51,0.49
Kepler-1051,1,13.2,13.116,6675,1.43,1.73
Kepler-1052,1,14.876,14.861,5888,1.03,1.03
Kepler-1053,1,13.156,13.209,4529,0.74,0.69
Kepler-1054,1,14.136,14.085,6209,1.22,1.34
Kepler-1055,1,13.09,13.073,5723,0.98,0.94
Kepler-1056,1,14.55,14.56,6127,1.12,1.2
Kepler-1057,1,15.624,15.608,5987,1.07,1.1
Kepler-1058,1,15.498,15.504,4644,0.73,0.69
Kepler-1059,1,15.484,15.489,4906,0.75,0.72
Kepler-1060,1,14.632,14.637,5797,0.99,0.99
Kepler-1061,1,13.263,13.204,6067,1.09,1.07
Kepler-1062,1,14.796,14.805,4597,0.75,0.7
Kepler-1063,1,12.261,,5945,1.09,1.14
Kepler-1064,1,13.755,13.741,5153,0.85,0.79
Kepler-1066,1,13.007,13.024,5762,0.98,0.98
Kepler-1067,1,14.305,14.273,5592,0.95,0.93
Kepler-1068,1,15.818,15.832,5806,1.01,1.01
Kepler-1069,1,13.153,13.098,5722,0.99,0.98
Kepler-1070,1,13.977,13.913,6261,1.21,1.32
Kepler-1071,1,15.801,15.829,5215,0.86,0.81
Kepler-1072,1,13.93,13.842,6199,1.2,1.32
Kepler-1074,1,15.026,15.006,4002,0.6,0.57
Kepler-1075,1,15.313,15.37,3959,0.56,0.54
Kepler-1076,1,12.906,12.949,4868,0.79,0.74
Kepler-1077,1,14.998,14.998,5816,1.02,1.02
Kepler-1078,1,15.62,15.607,5612,0.94,0.92
Kepler-1079,1,12.584,,5758,1.08,1.36
Kepler-1080,1,13.754,13.409,5956,1.1,1.16
Kepler-1081,1,13.746,13.711,5345,0.88,0.84
Kepler-1082,1,13.38,13.342,5923,1.03,1.14
Kepler-1083,1,15.824,15.85,5049,0.81,0.77
Kepler-1084,1,12.217,12.158,6113,1.12,1.28
Kepler-1085,1,15.273,15.247,6000,1.11,1.14
Kepler-1087,1,12.953,12.901,5589,0.96,0.94
Kepler-1088,1,11.863,11.778,5975,1.08,1.08
Kepler-1089,1,15.535,15.598,3753,0.52,0.49
Kepler-1090,1,15.001,14.996,5321,0.86,0.82
Kepler-1091,1,14.691,14.715,5851,1.01,1.03
Kepler-1092,1,14.649,14.616,5862,0.99,1
Kepler-1094,1,14.999,14.961,6112,1.14,1.21
Kepler-1095,1,14.553,14.526,5658,0.94,0.92
Kepler-1096,1,15.068,15.061,4306,0.66,0.63
Kepler-1097,1,15.206,15.207,5211,0.82,0.79
Kepler-1098,1,14.736,14.733,5794,0.99,0.99
Kepler-1099,1,15.141,15.134,5837,1.01,1
Kepler-1100,1,13.862,13.822,6247,1.21,1.34
Kepler-1101,1,15.111,15.096,5614,0.94,0.91
Kepler-1102,1,14.955,14.922,5724,0.96,0.94
Kepler-1103,1,14.09,14.073,6092,1.11,1.15
Kepler-1104,1,12.189,12.083,6417,1.3,1.41
Kepler-1105,1,15.18,15.142,4299,0.71,0.68
Kepler-1106,1,14.69,14.628,6104,1.11,1.17
Kepler-1107,1,14.098,14.128,5268,0.86,0.82
Kepler-1108,1,14.979,14.919,5406,0.88,0.84
Kepler-1109,1,14.288,14.266,5893,1.05,1.06
Kepler-1110,1,15.914,15.887,4781,0.73,0.7
Kepler-1111,1,15.159,14.715,6077,1.1,1.15
Kepler-1112,1,14.612,14.561,6496,1.34,1.54
Kepler-1113,1,14.766,14.783,5931,1.12,1.17
Kepler-1114,1,13.747,13.758,5374,0.87,0.83
Kepler-1115,1,11.98,11.882,8480,1.6,1.73
Kepler-1116,1,15.265,15.235,5641,0.95,0.93
Kepler-1117,1,14.102,14.124,5612,0.95,0.93
Kepler-1118,1,14.94,14.956,5688,0.96,0.97
Kepler-1119,1,15.06,15.067,6083,1.11,1.17
Kepler-1120,1,15.333,15.304,4904,0.78,0.74
Kepler-1121,1,12.071,12.017,6231,1.29,1.59
Kepler-1122,1,15.06,15.102,5544,0.92,0.89
Kepler-1123,1,14.822,14.807,5500,0.93,0.9
Kepler-1124,1,15.959,15.968,3658,0.35,0.34
Kepler-1125,1,14.874,14.877,5683,0.95,0.94
Kepler-1126,1,14.033,14.021,5798,0.92,0.93
Kepler-1127,1,15.162,15.133,5664,0.97,0.95
Kepler-1128,1,15.722,15.686,5543,0.94,0.91
Kepler-1130,1,12.404,12.396,5403,0.9,0.81
Kepler-1131,1,14.972,14.937,5851,1.03,1.04
Kepler-1132,1,15.481,15.472,5298,0.87,0.83
Kepler-1133,1,14.816,14.81,5569,0.93,0.9
Kepler-1134,1,15.842,15.825,5281,0.84,0.81
Kepler-1135,1,14.353,14.295,5656,0.96,0.94
Kepler-1136,1,15.658,15.642,4512,0.72,0.68
Kepler-1137,1,12.768,12.691,6807,1.5,1.84
Kepler-1138,1,15.353,15.336,5582,0.95,0.92
Kepler-1139,1,14.113,14.135,5550,0.94,0.91
Kepler-1140,1,15.464,15.453,4850,0.76,0.73
Kepler-1141,1,12.589,12.335,5791,1.01,1.07
Kepler-1142,1,14.31,14.278,5685,0.97,0.96
Kepler-1144,1,14.941,14.913,5753,0.98,0.96
Kepler-1145,1,15.443,15.45,5064,0.79,0.75
Kepler-1146,1,15.848,15.85,4692,0.74,0.7
Kepler-1147,1,15.401,15.356,5941,1.09,1.14
Kepler-1148,1,15.277,15.281,5054,0.81,0.77
Kepler-1149,1,14.966,14.931,5833,1.02,1.01
Kepler-1150,1,14.435,14.423,4754,0.76,0.72
Kepler-1151,1,14.872,14.857,5470,0.88,0.85
Kepler-1152,1,14.634,14.598,3964,0.55,0.53
Kepler-1153,1,15.758,15.798,5470,0.91,0.88
Kepler-1155,1,14.74,14.739,5842,1.03,1.03
Kepler-1156,1,14.152,14.126,5778,1,1
Kepler-1157,1,14.374,14.377,4679,0.76,0.71
Kepler-1158,1,13.628,13.574,6203,1.41,1.95
Kepler-1159,1,14.574,14.545,6217,1.19,1.28
Kepler-1160,1,15.833,15.8,5519,0.92,0.89
Kepler-1161,1,15.813,15.8,4253,0.59,0.57
Kepler-1162,1,15.48,15.485,5390,0.89,0.84
Kepler-1163,1,12.168,12.118,6302,1.22,1.35
Kepler-1164,1,14.11,14.09,5183,0.85,0.79
Kepler-1165,1,14.456,14.392,6080,1.13,1.18
Kepler-1166,1,14.477,14.466,5446,0.9,0.86
Kepler-1167,1,15.942,15.929,4971,0.79,0.75
Kepler-1168,1,15.624,15.609,5157,0.87,0.82
Kepler-1169,1,12.716,12.685,6191,1.24,1.23
Kepler-1170,1,15.909,15.909,5069,0.8,0.76
Kepler-1171,1,11.558,11.459,7044,1.58,1.95
Kepler-1172,1,15.889,15.846,5558,0.92,0.89
Kepler-1173,1,13.829,13.804,5252,0.86,0.82
Kepler-1174,1,14.207,14.159,5936,1.04,1.04
Kepler-1175,1,15.939,15.916,5453,0.9,0.86
Kepler-1176,1,15.056,15.05,5844,1.01,1.02
Kepler-1177,1,14.552,14.508,5712,0.98,0.97
Kepler-1178,1,13.831,13.96,4990,0.8,0.75
Kepler-1179,1,14.077,14.068,5212,0.84,0.81
Kepler-1180,1,14.989,14.984,6077,1.09,1.14
Kepler-1181,1,13.827,13.455,6176,1.17,1.3
Kepler-1182,1,15.356,15.345,5924,1.04,1.05
Kepler-1183,1,15.778,15.83,5765,1,0.99
Kepler-1184,1,14.953,14.931,5983,1.05,1.07
Kepler-1185,1,12.57,12.552,5622,0.96,0.87
Kepler-1186,1,15.306,15.267,5635,0.95,0.93
Kepler-1187,1,14.562,14.566,5975,1.06,1.09
Kepler-1188,1,15.004,14.968,5913,1.04,1.06
Kepler-1189,1,14.285,14.249,6012,1.11,1.16
Kepler-1190,1,14.471,14.494,4730,0.76,0.72
Kepler-1191,1,15.378,15.312,5308,0.85,0.81
Kepler-1192,1,15.684,15.681,5438,0.86,0.83
Kepler-1193,1,13.467,13.421,5908,1.08,1.21
Kepler-1194,1,14.129,14.103,5590,0.94,0.92
Kepler-1195,1,15.888,15.912,4965,0.74,0.71
Kepler-1196,1,14.862,14.832,5756,0.98,0.97
Kepler-1197,1,15.13,15.113,4708,0.78,0.72
Kepler-1198,1,14.776,14.769,5517,0.93,0.9
Kepler-1199,1,13.037,13.03,5889,0.94,1.17
Kepler-12,1,13.8,13.36,5947,1.17,1.48
Kepler-1200,1,15.793,15.789,4612,0.74,0.7
Kepler-1201,1,14.724,14.7,6177,1.15,1.24
Kepler-1202,1,15.658,15.608,5834,1.03,1.04
Kepler-1203,1,14.934,14.915,4105,0.64,0.61
Kepler-1204,1,15.301,15.295,5825,1.03,1.03
Kepler-1205,1,15.143,15.13,5226,0.84,0.81
Kepler-1206,1,15.975,15.929,4877,0.8,0.75
Kepler-1207,1,14.5,14.449,5909,1.06,1.06
Kepler-1208,1,15.938,15.946,5001,0.8,0.76
Kepler-1209,1,12.476,12.411,6210,1.23,1.38
Kepler-1210,1,15.553,15.566,5568,0.94,0.92
Kepler-1211,1,15.832,15.828,5705,0.96,0.94
Kepler-1212,1,15.012,15.024,6051,1.1,1.15
Kepler-1213,1,13.386,13.342,6050,1.14,1.21
Kepler-1214,1,15.279,15.223,5130,0.85,0.8
Kepler-1215,1,14.431,14.425,5616,0.95,0.93
Kepler-1216,1,15.133,15.107,5743,0.99,0.98
Kepler-1217,1,15.298,15.242,5905,1.06,1.08
Kepler-1218,1,13.578,13.551,5986,1.06,1.1
Kepler-1219,1,12.249,12.232,5944,1.25,1.94
Kepler-1220,1,14.985,14.965,5842,1,0.99
Kepler-1221,1,15.563,15.58,5194,0.87,0.82
Kepler-1222,1,14.1,14.091,5239,0.84,0.8
Kepler-1223,1,14.61,14.612,4870,0.8,0.75
Kepler-1224,1,12.867,12.825,6155,1.18,1.22
Kepler-1225,1,14.689,14.632,6140,1.13,1.19
Kepler-1226,1,14.15,14.15,5923,1.02,1.02
Kepler-1227,1,14.183,14.176,5747,0.97,0.95
Kepler-1228,1,14.859,14.861,5063,0.78,0.74
Kepler-1229,1,15.474,15.51,3784,0.54,0.51
Kepler-1230,1,15.309,15.274,5961,1.06,1.08
Kepler-1231,1,14.746,14.714,5778,1.01,1
Kepler-1232,1,14.803,14.762,5471,0.92,0.89
Kepler-1233,1,14.689,14.659,6198,1.16,1.25
Kepler-1234,1,15.912,15.878,4967,0.8,0.76
Kepler-1235,1,13.889,13.877,5541,0.93,0.9
Kepler-1236,1,15.956,15.925,5337,0.86,0.82
Kepler-1237,1,15.758,15.755,5472,0.94,0.9
Kepler-1238,1,14.725,14.733,6386,1.3,1.48
Kepler-1239,1,15.438,15.395,6564,1.4,1.57
Kepler-1240,1,13.987,13.961,5682,0.98,0.96
Kepler-1241,1,15.714,15.669,5261,0.84,0.8
Kepler-1242,1,15.462,15.498,4895,0.77,0.74
Kepler-1243,1,14.834,14.833,5667,0.96,0.94
Kepler-1244,1,12.402,12.323,6680,1.46,1.77
Kepler-1246,1,15.006,15.032,4611,0.73,0.69
Kepler-1247,1,15.935,15.901,5303,0.86,0.82
Kepler-1248,1,12.77,12.925,6149,1.21,1.21
Kepler-1249,1,15.373,15.352,6202,1.19,1.28
Kepler-1250,1,15.618,15.569,5717,0.99,0.98
Kepler-1251,1,14.976,14.939,5545,0.92,0.89
Kepler-1252,1,14.503,14.495,5949,1.06,1.09
Kepler-1253,1,12.464,12.457,5850,0.97,1.1
Kepler-1255,1,15.251,15.199,6018,1.08,1.12
Kepler-1256,1,13.539,13.513,6129,1.17,1.36
Kepler-1257,1,15.553,15.512,5502,0.9,0.87
Kepler-1258,1,13.835,13.785,5839,0.99,0.99
Kepler-1259,1,15.304,15.333,5053,0.8,0.77
Kepler-1260,1,14.838,14.823,5961,1.06,1.08
Kepler-1261,1,15.605,15.582,5006,0.82,0.77
Kepler-1262,1,15.18,15.184,5771,0.99,0.98
Kepler-1263,1,15.035,15.001,5213,0.84,0.8
Kepler-1264,1,14.511,14.479,5791,0.99,0.98
Kepler-1265,1,15.602,15.566,4630,0.71,0.69
Kepler-1266,1,15.86,15.836,5044,0.8,0.76
Kepler-1267,1,15.829,15.814,6096,1.15,1.2
Kepler-1268,1,15.272,15.222,5904,1.06,1.09
Kepler-1269,1,13.611,13.57,5998,1.1,1.15
Kepler-1270,1,13.274,13.285,5047,1.28,3.38
Kepler-1271,1,13.925,13.868,6143,1.13,1.23
Kepler-1272,1,14.423,14.384,5926,1.06,1.09
Kepler-1273,1,15.826,15.796,5566,0.94,0.91
Kepler-1274,1,11.752,11.682,6179,1.45,2.17
Kepler-1275,1,14.46,14.406,6296,1.23,1.36
Kepler-1276,1,12.885,12.848,6188,1.14,1.21
Kepler-1277,1,14.05,14.093,5578,0.94,0.92
Kepler-1278,1,13.658,13.632,6074,1.11,1.16
Kepler-1279,1,13.973,13.932,6221,1.21,1.33
Kepler-1280,1,14.074,14,6227,1.2,1.32
Kepler-1281,1,15.79,15.997,5353,0.87,0.83
Kepler-1282,1,15.545,15.492,5504,0.92,0.89
Kepler-1283,1,15.079,15.07,6175,1.16,1.25
Kepler-1284,1,15.645,15.662,5123,0.84,0.79
